nuclei,fov,original_nuclei,n_pairs,DonorFile,AcceptorFile,FretFile,X_A,Y_A,Z_A,X_D,Y_D,Z_D,Fret,Acceptor,Donor,Pair,dlamin_A,dlamin_D
1,1,1,2,/Volumes/projects/FRET-FISH/iAM592/a488_001.tif,/Volumes/projects/FRET-FISH/iAM592/a594_001.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_001.tif,265,92,25,261,91,26,2852,8512,8168,1,19,19
1,1,1,2,/Volumes/projects/FRET-FISH/iAM592/a488_001.tif,/Volumes/projects/FRET-FISH/iAM592/a594_001.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_001.tif,217,48,23,211,49,23,3181,8084,8741,2,45,45
2,1,2,2,/Volumes/projects/FRET-FISH/iAM592/a488_001.tif,/Volumes/projects/FRET-FISH/iAM592/a594_001.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_001.tif,970,170,32,969,166,30,2087,2963,6765,1,32,32
2,1,2,2,/Volumes/projects/FRET-FISH/iAM592/a488_001.tif,/Volumes/projects/FRET-FISH/iAM592/a594_001.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_001.tif,936,189,27,936,196,27,2196,3205,7711,2,25,25
3,1,3,2,/Volumes/projects/FRET-FISH/iAM592/a488_001.tif,/Volumes/projects/FRET-FISH/iAM592/a594_001.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_001.tif,290,178,23,289,183,21,3046,8137,3508,1,40,40
3,1,3,2,/Volumes/projects/FRET-FISH/iAM592/a488_001.tif,/Volumes/projects/FRET-FISH/iAM592/a594_001.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_001.tif,262,191,37,262,191,34,2657,3306,10729,2,13,13
4,1,4,2,/Volumes/projects/FRET-FISH/iAM592/a488_001.tif,/Volumes/projects/FRET-FISH/iAM592/a594_001.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_001.tif,63,226,31,60,225,31,2741,6692,8117,1,18.3575592041016,18.3575592041016
4,1,4,2,/Volumes/projects/FRET-FISH/iAM592/a488_001.tif,/Volumes/projects/FRET-FISH/iAM592/a594_001.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_001.tif,82,199,31,78,198,31,2786,8360,7730,2,17.4642486572266,17.4642486572266
7,1,7,2,/Volumes/projects/FRET-FISH/iAM592/a488_001.tif,/Volumes/projects/FRET-FISH/iAM592/a594_001.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_001.tif,702,459,23,700,455,21,2854,7276,11350,1,35.1141014099121,35.1141014099121
7,1,7,2,/Volumes/projects/FRET-FISH/iAM592/a488_001.tif,/Volumes/projects/FRET-FISH/iAM592/a594_001.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_001.tif,671,454,31,669,450,29,2695,3982,10334,2,14,14
10,1,10,2,/Volumes/projects/FRET-FISH/iAM592/a488_001.tif,/Volumes/projects/FRET-FISH/iAM592/a594_001.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_001.tif,823,567,26,826,563,24,2285,6010,5263,1,21.5870323181152,21.5870323181152
10,1,10,2,/Volumes/projects/FRET-FISH/iAM592/a488_001.tif,/Volumes/projects/FRET-FISH/iAM592/a594_001.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_001.tif,820,531,27,817,527,25,1927,2358,4858,2,6.70820379257202,6.70820379257202
12,1,12,2,/Volumes/projects/FRET-FISH/iAM592/a488_001.tif,/Volumes/projects/FRET-FISH/iAM592/a594_001.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_001.tif,639,757,30,637,751,31,2483,5688,6028,1,15.65247631073,15.65247631073
12,1,12,2,/Volumes/projects/FRET-FISH/iAM592/a488_001.tif,/Volumes/projects/FRET-FISH/iAM592/a594_001.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_001.tif,669,746,29,669,739,29,2584,5878,5900,2,47.1699066162109,47.1699066162109
13,1,13,2,/Volumes/projects/FRET-FISH/iAM592/a488_001.tif,/Volumes/projects/FRET-FISH/iAM592/a594_001.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_001.tif,496,728,24,493,729,25,3245,10717,10090,1,5.83095169067383,5.83095169067383
13,1,13,2,/Volumes/projects/FRET-FISH/iAM592/a488_001.tif,/Volumes/projects/FRET-FISH/iAM592/a594_001.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_001.tif,518,719,22,517,725,23,3081,11810,8947,2,13.9283885955811,13.9283885955811
14,1,14,2,/Volumes/projects/FRET-FISH/iAM592/a488_001.tif,/Volumes/projects/FRET-FISH/iAM592/a594_001.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_001.tif,425,813,31,425,808,29,2194,2874,8590,1,31.78049659729,31.78049659729
14,1,14,2,/Volumes/projects/FRET-FISH/iAM592/a488_001.tif,/Volumes/projects/FRET-FISH/iAM592/a594_001.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_001.tif,452,829,30,447,830,28,2302,5665,14691,2,34.7131080627441,34.7131080627441
15,1,15,2,/Volumes/projects/FRET-FISH/iAM592/a488_001.tif,/Volumes/projects/FRET-FISH/iAM592/a594_001.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_001.tif,216,912,31,222,911,30,2871,3661,3807,1,35,35
15,1,15,2,/Volumes/projects/FRET-FISH/iAM592/a488_001.tif,/Volumes/projects/FRET-FISH/iAM592/a594_001.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_001.tif,199,894,30,203,891,28,2503,7005,7435,2,15.2315464019775,15.2315464019775
16,1,16,2,/Volumes/projects/FRET-FISH/iAM592/a488_001.tif,/Volumes/projects/FRET-FISH/iAM592/a594_001.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_001.tif,484,926,34,487,922,36,2384,3634,4041,1,36.7151184082031,36.7151184082031
16,1,16,2,/Volumes/projects/FRET-FISH/iAM592/a488_001.tif,/Volumes/projects/FRET-FISH/iAM592/a594_001.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_001.tif,510,917,33,511,917,30,2329,4510,9751,2,29.5296459197998,29.5296459197998
