nuclei,fov,original_nuclei,n_pairs,DonorFile,AcceptorFile,FretFile,X_A,Y_A,Z_A,X_D,Y_D,Z_D,Fret,Acceptor,Donor,Pair
2,1,2,2,/Users/anamota/Desktop/iAM602/a488_001.tif,/Users/anamota/Desktop/iAM602/a594_001.tif,/Users/anamota/Desktop/iAM602/a488fret_001.tif,240,116,24,236,115,26,2651,4968,4817,1
2,1,2,2,/Users/anamota/Desktop/iAM602/a488_001.tif,/Users/anamota/Desktop/iAM602/a594_001.tif,/Users/anamota/Desktop/iAM602/a488fret_001.tif,215,184,15,211,189,16,2521,2648,15764,2
3,1,3,2,/Users/anamota/Desktop/iAM602/a488_001.tif,/Users/anamota/Desktop/iAM602/a594_001.tif,/Users/anamota/Desktop/iAM602/a488fret_001.tif,353,257,24,348,259,23,2488,7189,6911,1
3,1,3,2,/Users/anamota/Desktop/iAM602/a488_001.tif,/Users/anamota/Desktop/iAM602/a594_001.tif,/Users/anamota/Desktop/iAM602/a488fret_001.tif,309,260,16,303,261,17,2514,5370,13831,2
10,1,10,2,/Users/anamota/Desktop/iAM602/a488_001.tif,/Users/anamota/Desktop/iAM602/a594_001.tif,/Users/anamota/Desktop/iAM602/a488fret_001.tif,553,871,20,553,872,18,2517,6748,12876,1
10,1,10,2,/Users/anamota/Desktop/iAM602/a488_001.tif,/Users/anamota/Desktop/iAM602/a594_001.tif,/Users/anamota/Desktop/iAM602/a488fret_001.tif,549,830,17,551,831,15,2371,6015,10318,2
14,2,4,2,/Users/anamota/Desktop/iAM602/a488_002.tif,/Users/anamota/Desktop/iAM602/a594_002.tif,/Users/anamota/Desktop/iAM602/a488fret_002.tif,486,369,18,482,364,17,2642,6551,8710,1
14,2,4,2,/Users/anamota/Desktop/iAM602/a488_002.tif,/Users/anamota/Desktop/iAM602/a594_002.tif,/Users/anamota/Desktop/iAM602/a488fret_002.tif,566,473,15,566,472,18,2774,2818,3608,2
15,2,5,2,/Users/anamota/Desktop/iAM602/a488_002.tif,/Users/anamota/Desktop/iAM602/a594_002.tif,/Users/anamota/Desktop/iAM602/a488fret_002.tif,369,523,15,366,523,15,3841,12718,16893,1
15,2,5,2,/Users/anamota/Desktop/iAM602/a488_002.tif,/Users/anamota/Desktop/iAM602/a594_002.tif,/Users/anamota/Desktop/iAM602/a488fret_002.tif,301,485,13,299,479,14,2596,3805,3349,2
18,2,8,2,/Users/anamota/Desktop/iAM602/a488_002.tif,/Users/anamota/Desktop/iAM602/a594_002.tif,/Users/anamota/Desktop/iAM602/a488fret_002.tif,104,592,25,109,589,26,2966,5968,8133,1
18,2,8,2,/Users/anamota/Desktop/iAM602/a488_002.tif,/Users/anamota/Desktop/iAM602/a594_002.tif,/Users/anamota/Desktop/iAM602/a488fret_002.tif,17,640,21,12,644,22,3160,10106,8302,2
19,2,9,2,/Users/anamota/Desktop/iAM602/a488_002.tif,/Users/anamota/Desktop/iAM602/a594_002.tif,/Users/anamota/Desktop/iAM602/a488fret_002.tif,587,733,18,591,735,16,2851,5045,3613,1
19,2,9,2,/Users/anamota/Desktop/iAM602/a488_002.tif,/Users/anamota/Desktop/iAM602/a594_002.tif,/Users/anamota/Desktop/iAM602/a488fret_002.tif,583,697,19,588,696,17,2338,3656,3793,2
21,2,11,2,/Users/anamota/Desktop/iAM602/a488_002.tif,/Users/anamota/Desktop/iAM602/a594_002.tif,/Users/anamota/Desktop/iAM602/a488fret_002.tif,284,683,21,281,684,21,3259,8377,9769,1
21,2,11,2,/Users/anamota/Desktop/iAM602/a488_002.tif,/Users/anamota/Desktop/iAM602/a594_002.tif,/Users/anamota/Desktop/iAM602/a488fret_002.tif,239,710,20,239,711,23,2463,3323,3485,2
22,2,12,2,/Users/anamota/Desktop/iAM602/a488_002.tif,/Users/anamota/Desktop/iAM602/a594_002.tif,/Users/anamota/Desktop/iAM602/a488fret_002.tif,830,887,23,825,886,21,2132,3058,9484,1
22,2,12,2,/Users/anamota/Desktop/iAM602/a488_002.tif,/Users/anamota/Desktop/iAM602/a594_002.tif,/Users/anamota/Desktop/iAM602/a488fret_002.tif,740,787,20,741,787,23,2761,6178,4538,2
24,3,2,2,/Users/anamota/Desktop/iAM602/a488_003.tif,/Users/anamota/Desktop/iAM602/a594_003.tif,/Users/anamota/Desktop/iAM602/a488fret_003.tif,138,279,25,137,275,23,2256,2544,5898,1
24,3,2,2,/Users/anamota/Desktop/iAM602/a488_003.tif,/Users/anamota/Desktop/iAM602/a594_003.tif,/Users/anamota/Desktop/iAM602/a488fret_003.tif,129,193,24,130,193,21,2352,2674,7244,2
27,3,5,2,/Users/anamota/Desktop/iAM602/a488_003.tif,/Users/anamota/Desktop/iAM602/a594_003.tif,/Users/anamota/Desktop/iAM602/a488fret_003.tif,244,501,18,244,501,15,3416,13987,3765,1
27,3,5,2,/Users/anamota/Desktop/iAM602/a488_003.tif,/Users/anamota/Desktop/iAM602/a594_003.tif,/Users/anamota/Desktop/iAM602/a488fret_003.tif,141,594,22,142,594,25,3369,11744,4258,2
29,3,7,2,/Users/anamota/Desktop/iAM602/a488_003.tif,/Users/anamota/Desktop/iAM602/a594_003.tif,/Users/anamota/Desktop/iAM602/a488fret_003.tif,575,551,18,569,552,17,2479,2911,5817,1
29,3,7,2,/Users/anamota/Desktop/iAM602/a488_003.tif,/Users/anamota/Desktop/iAM602/a594_003.tif,/Users/anamota/Desktop/iAM602/a488fret_003.tif,557,625,20,557,630,22,2217,5762,3533,2
30,3,8,2,/Users/anamota/Desktop/iAM602/a488_003.tif,/Users/anamota/Desktop/iAM602/a594_003.tif,/Users/anamota/Desktop/iAM602/a488fret_003.tif,262,820,27,258,822,25,3543,14253,16144,1
30,3,8,2,/Users/anamota/Desktop/iAM602/a488_003.tif,/Users/anamota/Desktop/iAM602/a594_003.tif,/Users/anamota/Desktop/iAM602/a488fret_003.tif,236,854,20,231,854,18,2387,2727,3438,2
31,3,9,2,/Users/anamota/Desktop/iAM602/a488_003.tif,/Users/anamota/Desktop/iAM602/a594_003.tif,/Users/anamota/Desktop/iAM602/a488fret_003.tif,535,841,26,530,840,28,10571,5468,6318,1
31,3,9,2,/Users/anamota/Desktop/iAM602/a488_003.tif,/Users/anamota/Desktop/iAM602/a594_003.tif,/Users/anamota/Desktop/iAM602/a488fret_003.tif,507,828,24,507,829,27,3872,12669,6502,2
33,4,1,2,/Users/anamota/Desktop/iAM602/a488_004.tif,/Users/anamota/Desktop/iAM602/a594_004.tif,/Users/anamota/Desktop/iAM602/a488fret_004.tif,247,20,25,242,21,23,2054,3055,8698,1
33,4,1,2,/Users/anamota/Desktop/iAM602/a488_004.tif,/Users/anamota/Desktop/iAM602/a594_004.tif,/Users/anamota/Desktop/iAM602/a488fret_004.tif,219,96,31,214,97,29,2187,3259,6518,2
36,4,4,2,/Users/anamota/Desktop/iAM602/a488_004.tif,/Users/anamota/Desktop/iAM602/a594_004.tif,/Users/anamota/Desktop/iAM602/a488fret_004.tif,254,407,22,256,410,20,2832,8581,9343,1
36,4,4,2,/Users/anamota/Desktop/iAM602/a488_004.tif,/Users/anamota/Desktop/iAM602/a594_004.tif,/Users/anamota/Desktop/iAM602/a488fret_004.tif,306,495,22,300,495,23,2515,4910,7642,2
37,4,5,2,/Users/anamota/Desktop/iAM602/a488_004.tif,/Users/anamota/Desktop/iAM602/a594_004.tif,/Users/anamota/Desktop/iAM602/a488fret_004.tif,708,596,19,703,596,17,2268,3609,24280,1
37,4,5,2,/Users/anamota/Desktop/iAM602/a488_004.tif,/Users/anamota/Desktop/iAM602/a594_004.tif,/Users/anamota/Desktop/iAM602/a488fret_004.tif,693,440,21,696,444,23,2768,7015,14137,2
42,5,3,2,/Users/anamota/Desktop/iAM602/a488_005.tif,/Users/anamota/Desktop/iAM602/a594_005.tif,/Users/anamota/Desktop/iAM602/a488fret_005.tif,493,499,17,494,493,17,2782,9176,13170,1
42,5,3,2,/Users/anamota/Desktop/iAM602/a488_005.tif,/Users/anamota/Desktop/iAM602/a594_005.tif,/Users/anamota/Desktop/iAM602/a488fret_005.tif,486,398,17,484,394,15,2131,3146,3951,2
43,5,4,2,/Users/anamota/Desktop/iAM602/a488_005.tif,/Users/anamota/Desktop/iAM602/a594_005.tif,/Users/anamota/Desktop/iAM602/a488fret_005.tif,150,445,21,146,442,19,2175,3256,13309,1
43,5,4,2,/Users/anamota/Desktop/iAM602/a488_005.tif,/Users/anamota/Desktop/iAM602/a594_005.tif,/Users/anamota/Desktop/iAM602/a488fret_005.tif,263,500,26,259,497,24,1977,3560,10974,2
44,5,5,2,/Users/anamota/Desktop/iAM602/a488_005.tif,/Users/anamota/Desktop/iAM602/a594_005.tif,/Users/anamota/Desktop/iAM602/a488fret_005.tif,617,480,22,615,480,22,3643,15419,17139,1
44,5,5,2,/Users/anamota/Desktop/iAM602/a488_005.tif,/Users/anamota/Desktop/iAM602/a594_005.tif,/Users/anamota/Desktop/iAM602/a488fret_005.tif,648,562,18,644,557,19,2180,2928,7691,2
48,6,1,2,/Users/anamota/Desktop/iAM602/a488_006.tif,/Users/anamota/Desktop/iAM602/a594_006.tif,/Users/anamota/Desktop/iAM602/a488fret_006.tif,95,122,22,100,118,21,2838,6168,3121,1
48,6,1,2,/Users/anamota/Desktop/iAM602/a488_006.tif,/Users/anamota/Desktop/iAM602/a594_006.tif,/Users/anamota/Desktop/iAM602/a488fret_006.tif,136,109,24,131,110,22,2257,3384,6721,2
