File,Channel,Nuclei,x,y,z,Value,FWHM,SNR,NSNR,Label
/Users/anamota/Desktop/iAM698_calc/013.NM,a488,1.000,979.000,173.000,20.000,15059.000,3.072,22.439,4.528,0.000
/Users/anamota/Desktop/iAM698_calc/013.NM,a488,1.000,976.000,173.000,22.000,12703.000,3.176,4.193,3.819,0.000
/Users/anamota/Desktop/iAM698_calc/013.NM,a488,1.000,948.581,75.786,21.982,7401.000,2.817,33.664,2.225,0.000
/Users/anamota/Desktop/iAM698_calc/013.NM,a488,2.000,521.401,188.540,20.273,12923.000,2.995,48.764,4.182,0.000
/Users/anamota/Desktop/iAM698_calc/013.NM,a488,2.000,519.854,190.247,20.848,10960.000,3.654,18.049,3.547,0.000
/Users/anamota/Desktop/iAM698_calc/013.NM,a488,2.000,580.295,239.366,25.220,8004.000,2.681,21.118,2.590,0.000
/Users/anamota/Desktop/iAM698_calc/013.NM,a488,3.000,776.816,296.952,17.324,11208.000,2.568,21.324,3.308,0.000
/Users/anamota/Desktop/iAM698_calc/013.NM,a488,3.000,694.000,296.000,20.000,10729.000,2.276,19.682,3.167,0.000
/Users/anamota/Desktop/iAM698_calc/013.NM,a488,3.000,784.000,303.000,18.000,9201.000,2.966,28.697,2.716,0.000
/Users/anamota/Desktop/iAM698_calc/013.NM,a488,3.000,782.157,302.243,18.213,8038.000,3.425,8.882,2.372,0.000
/Users/anamota/Desktop/iAM698_calc/013.NM,a488,3.000,762.789,294.876,16.689,7469.000,2.351,30.972,2.205,0.000
/Users/anamota/Desktop/iAM698_calc/013.NM,a488,3.000,761.934,319.203,16.716,6710.000,2.978,18.030,1.981,0.000
/Users/anamota/Desktop/iAM698_calc/013.NM,a488,5.000,702.000,553.000,21.000,20750.000,3.125,24.163,6.194,0.000
/Users/anamota/Desktop/iAM698_calc/013.NM,a488,5.000,768.078,487.587,24.780,12848.000,2.760,34.227,3.835,0.000
/Users/anamota/Desktop/iAM698_calc/013.NM,a488,5.000,700.000,550.000,21.000,10749.000,2.718,1.031,3.209,0.000
/Users/anamota/Desktop/iAM698_calc/013.NM,a488,6.000,66.973,611.199,25.561,13457.000,3.149,10.192,3.046,2.000
/Users/anamota/Desktop/iAM698_calc/013.NM,a488,6.000,54.000,577.000,43.000,11164.000,3.495,16.755,2.527,0.000
/Users/anamota/Desktop/iAM698_calc/013.NM,a488,6.000,96.625,575.308,42.702,10488.000,3.526,8.328,2.374,1.000
/Users/anamota/Desktop/iAM698_calc/013.NM,a488,7.000,717.708,710.765,21.951,20585.000,3.068,84.438,6.309,0.000
/Users/anamota/Desktop/iAM698_calc/013.NM,a488,7.000,749.119,727.144,19.908,13793.000,2.697,31.992,4.227,0.000
/Users/anamota/Desktop/iAM698_calc/013.NM,a488,7.000,750.889,725.379,19.444,9891.000,4.089,66.687,3.031,0.000
/Users/anamota/Desktop/iAM698_calc/013.NM,a488,7.000,741.607,732.547,16.678,7293.000,2.695,3.736,2.235,0.000
/Users/anamota/Desktop/iAM698_calc/013.NM,a488,7.000,744.980,730.505,17.951,7622.000,2.578,2.903,2.336,0.000
/Users/anamota/Desktop/iAM698_calc/013.NM,a488,8.000,65.756,786.917,20.711,15187.000,2.857,44.355,5.299,0.000
/Users/anamota/Desktop/iAM698_calc/013.NM,a488,8.000,61.778,784.942,18.403,10381.000,4.046,7.272,3.622,0.000
/Users/anamota/Desktop/iAM698_calc/013.NM,a488,8.000,63.221,769.872,18.066,8404.000,2.480,35.550,2.932,0.000
/Users/anamota/Desktop/iAM698_calc/013.NM,a488fret,1.000,979.957,174.702,19.483,2888.000,2.523,11.430,1.313,0.000
/Users/anamota/Desktop/iAM698_calc/013.NM,a488fret,2.000,603.233,129.996,31.099,9599.000,1.332,71.608,4.021,0.000
/Users/anamota/Desktop/iAM698_calc/013.NM,a488fret,2.000,523.000,190.000,20.000,3096.000,2.305,8.805,1.297,0.000
/Users/anamota/Desktop/iAM698_calc/013.NM,a488fret,2.000,522.000,190.000,21.000,2765.000,3.748,7.126,1.158,0.000
/Users/anamota/Desktop/iAM698_calc/013.NM,a488fret,5.000,703.728,553.438,20.943,3492.000,2.294,10.580,1.496,0.000
/Users/anamota/Desktop/iAM698_calc/013.NM,a488fret,5.000,769.167,487.399,24.578,3065.000,2.202,8.992,1.313,0.000
/Users/anamota/Desktop/iAM698_calc/013.NM,a488fret,5.000,667.615,549.529,17.495,2666.000,3.314,4.756,1.142,0.000
/Users/anamota/Desktop/iAM698_calc/013.NM,a488fret,6.000,99.283,574.201,44.000,4555.704,6.749,2.496,1.058,1.000
/Users/anamota/Desktop/iAM698_calc/013.NM,a488fret,6.000,108.000,537.000,20.000,4145.000,4.097,7.259,0.963,0.000
/Users/anamota/Desktop/iAM698_calc/013.NM,a488fret,6.000,53.658,566.058,27.611,5147.000,3.483,3.231,1.195,0.000
/Users/anamota/Desktop/iAM698_calc/013.NM,a488fret,6.000,48.000,572.000,17.000,4684.000,3.714,2.746,1.088,0.000
/Users/anamota/Desktop/iAM698_calc/013.NM,a488fret,6.000,95.000,555.000,21.000,4537.000,1.405,6.829,1.054,0.000
/Users/anamota/Desktop/iAM698_calc/013.NM,a488fret,6.000,67.000,571.000,39.000,5419.000,2.197,3.560,1.258,0.000
/Users/anamota/Desktop/iAM698_calc/013.NM,a488fret,6.000,43.000,596.000,17.000,4553.000,1.046,2.444,1.057,0.000
/Users/anamota/Desktop/iAM698_calc/013.NM,a488fret,6.000,49.000,570.000,42.000,4812.000,4.498,2.519,1.118,0.000
/Users/anamota/Desktop/iAM698_calc/013.NM,a488fret,6.000,33.000,581.000,22.000,4998.000,1.267,8.974,1.161,0.000
/Users/anamota/Desktop/iAM698_calc/013.NM,a488fret,6.000,114.000,596.000,17.000,5088.000,2.143,5.246,1.182,0.000
/Users/anamota/Desktop/iAM698_calc/013.NM,a488fret,6.000,70.361,611.489,24.428,4695.000,3.594,3.094,1.090,2.000
/Users/anamota/Desktop/iAM698_calc/013.NM,a488fret,6.000,70.000,612.000,24.000,4757.000,3.053,3.257,1.105,0.000
/Users/anamota/Desktop/iAM698_calc/013.NM,a488fret,6.000,35.000,571.000,23.000,4544.000,1.374,2.715,1.055,0.000
/Users/anamota/Desktop/iAM698_calc/013.NM,a488fret,6.000,127.000,592.000,17.000,4589.000,2.529,6.188,1.066,0.000
/Users/anamota/Desktop/iAM698_calc/013.NM,a488fret,6.000,127.000,593.000,18.000,4266.000,4.278,4.384,0.991,0.000
/Users/anamota/Desktop/iAM698_calc/013.NM,a488fret,6.000,59.588,585.578,43.476,5627.000,2.508,5.322,1.307,0.000
/Users/anamota/Desktop/iAM698_calc/013.NM,a488fret,6.000,56.000,619.000,19.000,4723.000,3.932,3.858,1.097,0.000
