nuclei,fov,original_nuclei,n_pairs,DonorFile,AcceptorFile,FretFile,X_A,Y_A,Z_A,X_D,Y_D,Z_D,Fret,Acceptor,Donor,Pair
4,1,4,2,/Volumes/AM/iAM727/a488_001.tif,/Volumes/AM/iAM727/a594_001.tif,/Volumes/AM/iAM727/a488fret_001.tif,629,882,13,629,886,15,2681,8209,11611,1
4,1,4,2,/Volumes/AM/iAM727/a488_001.tif,/Volumes/AM/iAM727/a594_001.tif,/Volumes/AM/iAM727/a488fret_001.tif,626,855,14,626,854,17,2324,6727,4502,2
11,3,2,2,/Volumes/AM/iAM727/a488_003.tif,/Volumes/AM/iAM727/a594_003.tif,/Volumes/AM/iAM727/a488fret_003.tif,756,183,17,755,186,15,2149,2155,9330,1
11,3,2,2,/Volumes/AM/iAM727/a488_003.tif,/Volumes/AM/iAM727/a594_003.tif,/Volumes/AM/iAM727/a488fret_003.tif,722,170,17,720,174,15,1963,1907,14494,2
13,3,4,2,/Volumes/AM/iAM727/a488_003.tif,/Volumes/AM/iAM727/a594_003.tif,/Volumes/AM/iAM727/a488fret_003.tif,133,357,14,132,362,15,3180,10056,7338,1
13,3,4,2,/Volumes/AM/iAM727/a488_003.tif,/Volumes/AM/iAM727/a594_003.tif,/Volumes/AM/iAM727/a488fret_003.tif,138,406,14,138,411,12,3011,3290,24143,2
14,3,5,2,/Volumes/AM/iAM727/a488_003.tif,/Volumes/AM/iAM727/a594_003.tif,/Volumes/AM/iAM727/a488fret_003.tif,516,449,11,513,454,12,3043,8704,6811,1
14,3,5,2,/Volumes/AM/iAM727/a488_003.tif,/Volumes/AM/iAM727/a594_003.tif,/Volumes/AM/iAM727/a488fret_003.tif,506,430,17,507,435,19,2975,9194,8983,2
15,3,6,2,/Volumes/AM/iAM727/a488_003.tif,/Volumes/AM/iAM727/a594_003.tif,/Volumes/AM/iAM727/a488fret_003.tif,501,814,10,498,816,12,3143,9126,10494,1
15,3,6,2,/Volumes/AM/iAM727/a488_003.tif,/Volumes/AM/iAM727/a594_003.tif,/Volumes/AM/iAM727/a488fret_003.tif,496,792,12,490,790,11,2903,9664,11938,2
18,4,3,2,/Volumes/AM/iAM727/a488_004.tif,/Volumes/AM/iAM727/a594_004.tif,/Volumes/AM/iAM727/a488fret_004.tif,155,370,19,151,370,19,2674,5889,8439,1
18,4,3,2,/Volumes/AM/iAM727/a488_004.tif,/Volumes/AM/iAM727/a594_004.tif,/Volumes/AM/iAM727/a488fret_004.tif,153,326,14,153,325,17,2171,2054,3955,2
19,4,4,2,/Volumes/AM/iAM727/a488_004.tif,/Volumes/AM/iAM727/a594_004.tif,/Volumes/AM/iAM727/a488fret_004.tif,770,490,23,767,488,21,2275,2311,8822,1
19,4,4,2,/Volumes/AM/iAM727/a488_004.tif,/Volumes/AM/iAM727/a594_004.tif,/Volumes/AM/iAM727/a488fret_004.tif,798,484,19,794,486,17,2042,2712,10826,2
20,4,5,2,/Volumes/AM/iAM727/a488_004.tif,/Volumes/AM/iAM727/a594_004.tif,/Volumes/AM/iAM727/a488fret_004.tif,169,744,12,172,740,14,2583,4919,4075,1
20,4,5,2,/Volumes/AM/iAM727/a488_004.tif,/Volumes/AM/iAM727/a594_004.tif,/Volumes/AM/iAM727/a488fret_004.tif,143,762,15,147,767,14,3433,12826,4048,2
21,4,6,2,/Volumes/AM/iAM727/a488_004.tif,/Volumes/AM/iAM727/a594_004.tif,/Volumes/AM/iAM727/a488fret_004.tif,581,875,12,575,874,13,2745,6610,18377,1
21,4,6,2,/Volumes/AM/iAM727/a488_004.tif,/Volumes/AM/iAM727/a594_004.tif,/Volumes/AM/iAM727/a488fret_004.tif,598,866,25,603,870,24,2299,2494,4507,2
24,5,3,2,/Volumes/AM/iAM727/a488_005.tif,/Volumes/AM/iAM727/a594_005.tif,/Volumes/AM/iAM727/a488fret_005.tif,382,632,15,376,633,14,2162,2455,4656,1
24,5,3,2,/Volumes/AM/iAM727/a488_005.tif,/Volumes/AM/iAM727/a594_005.tif,/Volumes/AM/iAM727/a488fret_005.tif,377,611,24,376,616,22,2122,3070,13306,2
25,5,4,2,/Volumes/AM/iAM727/a488_005.tif,/Volumes/AM/iAM727/a594_005.tif,/Volumes/AM/iAM727/a488fret_005.tif,600,785,17,603,784,19,2021,2152,11930,1
25,5,4,2,/Volumes/AM/iAM727/a488_005.tif,/Volumes/AM/iAM727/a594_005.tif,/Volumes/AM/iAM727/a488fret_005.tif,540,837,14,545,836,16,2013,1971,4854,2
27,6,2,2,/Volumes/AM/iAM727/a488_006.tif,/Volumes/AM/iAM727/a594_006.tif,/Volumes/AM/iAM727/a488fret_006.tif,760,225,25,755,227,26,3421,9799,17148,1
27,6,2,2,/Volumes/AM/iAM727/a488_006.tif,/Volumes/AM/iAM727/a594_006.tif,/Volumes/AM/iAM727/a488fret_006.tif,741,226,32,736,225,30,2402,2809,5603,2
29,6,4,2,/Volumes/AM/iAM727/a488_006.tif,/Volumes/AM/iAM727/a594_006.tif,/Volumes/AM/iAM727/a488fret_006.tif,722,575,15,717,578,14,3004,11427,18190,1
29,6,4,2,/Volumes/AM/iAM727/a488_006.tif,/Volumes/AM/iAM727/a594_006.tif,/Volumes/AM/iAM727/a488fret_006.tif,701,583,14,696,584,16,3006,8294,4783,2
30,6,5,2,/Volumes/AM/iAM727/a488_006.tif,/Volumes/AM/iAM727/a594_006.tif,/Volumes/AM/iAM727/a488fret_006.tif,327,689,15,331,692,17,2578,4424,19929,1
30,6,5,2,/Volumes/AM/iAM727/a488_006.tif,/Volumes/AM/iAM727/a594_006.tif,/Volumes/AM/iAM727/a488fret_006.tif,304,690,20,304,690,23,3337,9772,5500,2
33,7,2,2,/Volumes/AM/iAM727/a488_007.tif,/Volumes/AM/iAM727/a594_007.tif,/Volumes/AM/iAM727/a488fret_007.tif,923,218,20,925,214,18,2071,2782,15373,1
33,7,2,2,/Volumes/AM/iAM727/a488_007.tif,/Volumes/AM/iAM727/a594_007.tif,/Volumes/AM/iAM727/a488fret_007.tif,950,217,20,946,215,18,2054,1912,8668,2
34,7,3,2,/Volumes/AM/iAM727/a488_007.tif,/Volumes/AM/iAM727/a594_007.tif,/Volumes/AM/iAM727/a488fret_007.tif,409,461,15,406,462,16,4610,19312,16690,1
