File,Channel,Nuclei,x,y,z,Value,FWHM,SNR,Label,dilation,version,xi,yi,zi,cell_ID,lamin_dist,lamin_dist_norm,centr_dist,centr_dist_norm,compartment,xnorm,ynorm,znorm,G1,Allele,angle
1,Cy5,1,917.9571533,52.8571434,16,10000001,3.730498388,6.397193984,0,0,7.0.2,918,53,16,,,,,,,,,,,,
1,Cy5,1,922.8428345,106.5999985,20,10000000,5.757891581,2.473100547,0,0,7.0.2,923,107,20,,,,,,,,,,,,
1,Cy5,2,681.2119497,162.2338418,19.06292358,10000000,3.787290207,9.207130868,0,0,7.0.2,681,162,19,9,1430.762889,0.282669044,3630.818885,0.717330956,2,0.632310445,0.306211322,0.053085217,0,0,
1,Cy5,3,777.2380981,260.323822,26,18.89498074,3.126560431,11.13559392,0,0,7.0.2,777,260,26,12,3000,0.621615818,1826.156148,0.378384182,0,0.371150728,0.057804108,0.478591583,0,2,124.0043097
1,Cy5,3,777.2581495,204.0598126,21.37350637,17.89498074,3.681189652,10.01917133,0,0,7.0.2,777,204,21,12,4387.94809,0.914155852,412.0519103,0.085844148,0,-0.343691821,0.005364907,0.206444899,0,1,124.0043097
1,Cy5,4,219.3308258,249.4962463,18,13.88802105,0.408123919,2.065344957,0,0,7.0.2,219,249,18,3,1598.239799,0.366740167,2759.905526,0.633259833,1,-0.385505987,0.609391433,-0.012321043,0,2,55.45294951
1,Cy5,4,198.8045044,235.7368469,27,12.88802105,4.844094705,3.667619487,0,0,7.0.2,199,236,27,3,2608.786122,0.537489903,2244.639635,0.462510097,0,-0.469242851,0.113278,0.517090721,0,1,55.45294951
1,Cy5,5,467.7869258,290.419928,20.34646815,10000000,4.649973312,8.626487975,0,0,7.0.2,468,290,20,7,2148.25532,0.473476874,2389.024547,0.526523126,0,-0.20276717,-0.537909655,0.142879753,0,0,
1,Cy5,6,352.4714355,418.7657166,20,15.21485266,10.81024225,1.485649902,0,0,7.0.2,352,419,20,5,1131.410392,0.244219876,3501.244573,0.755780124,2,-0.630590359,0.34025785,0.126142233,0,-1,
1,Cy5,6,375.0314331,488.5942993,22,14.21485266,7.592434163,0.621682296,0,0,7.0.2,375,489,22,5,2924.749755,0.643352988,1621.428602,0.356647012,0,0.458893171,0.114924889,0.243789292,0,-1,
1,Cy5,6,355.9628601,427.6285706,20,13.21485266,2.878729912,3.086825672,0,0,7.0.2,356,428,20,5,2180.566966,0.478667918,2375.096496,0.521332082,0,-0.491250555,0.302055783,0.126142233,0,-1,
1,Cy5,7,704.5438232,517.4133301,22,17.33454757,4.349878339,4.062756721,0,0,7.0.2,705,517,22,11,1523.502771,0.313907273,3329.963267,0.686092727,2,0.618930584,0.394920945,0.237593127,0,2,151.9593317
1,Cy5,7,754.7838135,448.3333435,21,16.33454757,3.296158653,6.413842314,0,0,7.0.2,755,448,21,11,3727.061063,0.758369804,1187.448949,0.241630196,0,-0.403731401,-0.263920685,0.178769597,0,1,151.9593317
1,Cy5,8,168.4348548,494.3574337,23.59675814,10000000,2.910590579,20.09024871,0,0,7.0.2,168,494,24,2,3666.025347,0.759466295,1161.675254,0.240533705,0,-0.457515106,0.132610693,0.280962532,0,0,
1,Cy5,9,67.09999847,695.9199829,23,10000001,1.333366176,2.257271187,0,0,7.0.2,67,696,23,1,1248.767584,0.265190074,3460.1733,0.734809926,0,-0.132726154,-0.724990719,0.271371907,0,2,14.14767756
1,Cy5,9,66.13999939,684.8800049,25,10000000,2.687108671,3.303280687,0,0,7.0.2,66,685,25,1,2714.790741,0.534636038,2362.963226,0.465363962,0,-0.005409761,-0.579038699,0.389018966,0,1,14.14767756
1,Cy5,10,869.1733398,709.5942993,23,9.536026468,3.135896729,4.210236044,0,0,7.0.2,869,710,23,10,3566.344533,0.773015173,1047.025412,0.226984827,0,0.476548245,0.517188642,0.307598257,0,-1,
1,Cy5,10,872.1694946,716.6762085,21,8.536026468,3.087305332,15.30672643,0,0,7.0.2,872,717,21,10,2714.206304,0.603258181,1785.062751,0.396741819,0,0.489628332,0.636153558,0.189951198,0,-1,
1,Cy5,10,874,684,23,7.536026468,2.943660053,19.48507339,0,0,7.0.2,874,684,23,10,3900,0.866666667,600,0.133333333,2,0.546513879,0.130422177,0.307598257,0,-1,
1,Cy5,11,486.2669067,645.5639038,17,10000001,3.322556053,3.975678712,0,0,7.0.2,486,646,17,6,233.2091644,0.054587957,4040.108882,0.945412043,2,0.509064087,-0.534650278,-0.004285614,0,2,148.5589024
1,Cy5,11,455.033844,704.5338135,20,10000000,2.793665325,8.378693318,0,0,7.0.2,455,705,20,6,3919.924471,0.917142539,354.0985278,0.082857461,0,-0.267646851,0.080477819,0.172184974,0,1,148.5589024
1,Cy5,12,335.5337788,689.3777998,20.83751603,10000002,3.638936368,4.844205168,0,0,7.0.2,336,689,21,4,3073.712784,0.728141655,1147.469589,0.271858345,2,-0.722774899,-0.136722038,0.207731813,0,-1,
1,Cy5,12,289.9520218,748.817547,21.78973381,10000001,3.867144721,5.882767426,0,0,7.0.2,290,749,22,4,1974.113129,0.468738993,2237.220871,0.531261007,0,-0.376612346,0.382450194,0.263744623,0,-1,
1,Cy5,12,344.7145381,692.7359517,20.93288066,10000000,2.824782596,13.63355189,0,0,7.0.2,345,693,21,4,1986.23013,0.462429583,2309.01509,0.537570417,2,-0.696753499,-0.227500016,0.213341497,0,-1,
1,Cy5,13,720.6212158,668.4313965,21,10000001,5.006302257,5.897652842,0,0,7.0.2,721,668,21,10,1662.541925,0.37207766,2805.790563,0.62792234,2,-0.581550206,-0.535970527,0.189951198,0,-1,
1,Cy5,13,710.9774454,682.5441755,18.31278625,10000000,2.416992188,5.053559685,0,0,7.0.2,711,683,18,10,3364.395843,0.753275385,1101.940911,0.246724615,2,-0.672419372,-0.3419641,0.031879801,0,-1,
1,Cy5,14,388.205858,809.3742953,22.87191954,10000001,2.621191068,10.35187467,0,0,7.0.2,388,809,23,4,2542.082004,0.585320634,1800.96891,0.414679366,0,0.055618265,-0.566924747,0.327402607,0,-1,
1,Cy5,14,378.5939941,795.9285889,24,10000000,4.082456091,5.001815449,0,0,7.0.2,379,796,24,4,973.8180258,0.214266287,3571.028901,0.785733713,0,-0.033641329,-0.480816409,0.393760281,0,-1,
1,Cy5,15,565.137146,829.8057251,20,16.20987289,3.983206331,3.192177719,0,0,7.0.2,565,830,20,8,2548.022376,0.544588586,2130.778262,0.455411414,2,-0.537613856,-0.310199087,0.086261462,0,-1,
