 ,Label,Area,Mean,Min,Max,Median
1,histone,115.610,9713.508,4028,21630,9354
2,histone,336.554,7829.750,2892,22528,6860
3,histone,490.768,7606.207,2839,23503,5854
4,histone,93.141,8352.355,3699,18104,7963
5,histone,408.069,7872.999,3065,22801,7708
6,histone,563.428,4822.311,2470,15372,4018
7,histone,525.835,5632.810,2560,17500,5178
8,histone,192.666,6868.635,3069,17247,6796
9,histone,121.707,3922.908,2485,6446,3771
10,histone,123.610,4775.606,2481,10503,4748
11,histone,96.139,9333.234,4937,20226,9012
12,histone,119.803,6847.711,3724,12960,6551
13,histone,159.603,7335.012,2857,20010,7103
14,histone,511.333,8146.558,3354,22553,8122
15,histone,543.536,3910.863,1944,11656,3320
16,histone,275.718,4494.571,2383,10946,4457
17,histone,506.550,7195.657,2377,26891,5927
18,histone,837.782,8307.937,2714,29171,6680
19,histone,197.028,9300.453,2892,25591,9587
20,histone,394.881,6091.361,2409,15806,6159
21,histone,280.451,6527.633,3625,11866,6545
22,histone,929.643,6848.960,3180,20971,6720
23,histone,1035.837,8272.211,3413,26083,7840
24,histone,267.330,5734.756,3320,12701,5443
25,histone,162.753,8299.678,3851,20163,8188
26,histone,217.677,5538.443,3392,10929,5562
27,histone,547.208,9808.144,3595,32354,9303
28,histone,202.687,11562.085,3890,34733,11980
29,histone,118.624,5997.920,3096,14208,5783
30,histone,834.682,7804.921,3052,29075,6013
31,histone,113.100,11575.755,4439,30310,10520
32,histone,425.687,7780.058,3226,31533,5553
33,histone,177.339,5358.914,2711,10879,5412
34,histone,416.002,12786.222,4031,42130,12607
35,histone,186.771,4719.941,2504,8970,4533
36,histone,270.076,7073.834,2945,24357,5747
37,histone,291.314,8401.191,2992,28302,8257
38,histone,378.982,5226.251,2724,16643,4359
39,histone,282.607,7069.693,2813,23887,5782
40,histone,226.284,9025.149,3361,30612,8103
41,histone,190.510,8045.889,3052,20158,8150
42,histone,164.033,8478.131,3413,20402,8287
43,histone,918.324,6400.255,2760,18480,6191
44,histone,141.665,8957.322,3622,21252,8752
45,histone,315.130,8178.300,3422,23220,7965
46,histone,515.072,7073.714,2838,24723,5507
47,histone,134.895,12231.063,4429,33594,11563
48,histone,626.033,8179.416,3137,33755,7109
49,histone,572.540,6600.769,2744,25959,5389
50,histone,281.950,7209.010,3130,27781,5753
51,histone,164.454,8850.736,3450,21879,8610
52,histone,55.615,12223.220,5999,25812,11597
53,histone,148.369,8795.468,3517,20236,8637
54,histone,231.118,11306.729,4103,33869,11438
55,histone,502.996,8607.575,3661,31587,6300
56,histone,475.895,6752.892,2699,19695,6463
57,histone,159.401,9433.809,3335,25954,9267
58,histone,281.023,9453.477,3791,34989,9088
59,histone,135.973,7829.952,3210,18576,7314
60,histone,219.446,10304.412,3897,27587,10214
61,histone,859.408,6144.863,2523,18630,6159
62,histone,470.590,9341.595,3736,27481,8731
63,histone,139.358,14764.584,5203,32337,14116
64,histone,836.923,6441.407,3152,18321,6492
65,histone,307.921,7014.908,3409,17442,7103
66,histone,869.362,9761.167,3472,33980,7433
67,histone,74.462,9913.147,5708,21558,9057
68,histone,144.226,8441.628,4699,19742,8243
69,histone,177.709,9191.111,3705,25098,8686
70,histone,115.761,11618.483,4841,29918,10857
71,histone,242.824,9389.070,3640,27055,9330
72,histone,459.120,8347.441,2985,23191,8727
73,histone,150.525,5828.766,2454,15831,5712
74,histone,564.220,5251.222,2405,16542,5215
75,histone,287.424,9297.640,3873,25573,9914
76,histone,583.336,10685.584,3874,38987,7541
77,histone,109.496,7597.258,3045,18473,7070
78,histone,273.326,10178.040,3980,38747,9875
79,histone,98.396,6654.524,2871,17302,6544
80,histone,514.769,5696.921,2556,19810,4604
81,histone,252.576,9576.823,3787,28500,9877
82,histone,179.865,7300.957,3135,17687,6877
83,histone,554.552,7729.705,3256,21578,7963
84,histone,855.332,6352.137,2423,24397,4972
85,histone,630.648,5949.212,2694,18202,5343
86,histone,229.400,4249.726,2233,11837,4202
87,histone,224.280,7718.513,3174,27140,7397
88,histone,117.176,6168.704,3671,16032,5689
89,histone,91.844,7042.378,3221,17341,6669
90,histone,470.135,6853.44,3048,21776,6665
91,histone,327.678,7826.519,3478,21835,7889
92,histone,381.996,6223.442,2459,17752,6338
93,histone,106.615,6096.549,2665,18369,5639
94,histone,62.976,4666.232,2947,8033,4297
95,histone,528.833,5994.408,2423,18579,5997
96,histone,285.824,5001.171,2582,11869,4747
97,histone,237.114,5151.628,2423,12993,4939
98,histone,206.932,7618.1,3006,20836,8078
99,histone,210.064,5279.356,2431,17797,3923
100,histone,323.956,5221.553,2405,14462,4857
101,histone,422.099,10798.162,3939,34445,11044
102,histone,427.994,8164.219,2706,32558,7616
103,histone,228.103,3751.405,2155,7576,3687
104,histone,145.657,3527.1,1818,8001,3321
105,histone,213.854,6264.66,2355,18903,6275
106,histone,265.595,5709.925,2264,21972,5201
107,histone,575.791,3140.063,1745,7391,3120
108,histone,311.273,5723.764,2335,20470,5101
109,histone,534.323,4392.428,2059,21583,3326
110,histone,287.609,3717.296,1929,9339,3498
111,histone,503.838,4729.981,1993,16260,4437
112,histone,208.767,4462.803,1782,13015,4462
113,histone,178.265,4208.401,2066,10418,4029
114,histone,696.082,6635.049,2416,20718,6545
115,histone,179.276,6481.124,2497,17231,6703
116,histone,214.46,4200.27,1905,12926,4322
117,histone,169.844,4055.012,2004,8664,4059
118,histone,250.487,4856.324,2255,14776,4947
119,histone,268.694,3009.73,1824,7347,2922
120,histone,477.428,4900.914,2158,16850,4575
121,histone,435.287,4412.788,2075,14064,4328
122,histone,144.781,4540.573,2200,10625,4455
123,histone,93.646,6206.079,3967,17563,5709
124,histone,55.615,4568.876,2654,9204,4173
125,histone,371.116,5600.819,2488,16765,5382
126,histone,137.337,8112.951,3309,22426,7751
127,histone,180.69,5412.812,2330,14398,5485
128,histone,148.706,6526.102,2947,14686,6365
129,histone,110.472,6038.875,2881,13352,5463
130,histone,155.881,7020.343,3110,19675,6662
131,histone,388.077,4963.971,2419,13334,4828
132,histone,460.703,5384.737,2551,12877,5378
133,histone,128.393,4902.333,2323,11211,4880
134,histone,215.875,5353.833,2448,15419,5110
135,histone,142.255,7912.275,3316,22063,7309
136,histone,179.276,4363.169,2538,9175,4236
137,histone,124.755,9274.878,4094,20601,8317
138,histone,853.344,4119.156,1675,16909,3818
139,histone,289.731,4011.002,2330,9989,3916
140,histone,382.839,6438.747,2850,15515,6379
141,histone,115.525,7370.621,3123,17107,7055
142,histone,380.329,7114.926,2679,21695,7115
143,histone,460.922,4871.612,2175,12779,4894
144,histone,144.832,6091.643,2426,17092,6001
145,histone,528.142,7444.449,2944,21950,7807
146,histone,380.767,4079.599,1960,9532,4252
147,histone,232.886,5206.065,2500,15721,4827
148,histone,405.88,5443.686,2118,24733,4565
149,histone,161.136,4527.831,2244,11451,4388
150,histone,348.226,6396.53,2608,17662,6225
151,histone,377.466,5284.944,2505,14047,5249
152,histone,185.71,6098.123,2705,16217,5804
153,histone,175.89,4047.316,2246,9532,4012
154,histone,113.336,4716.795,2491,10027,4854
