 ,Label,Area,Mean,Min,Max,Median
1,histone,167.250,1302.363,884,4066,1282
2,histone,192.851,1082.571,843,2718,1058
3,histone,171.191,1104.794,856,2780,1076
4,histone,494.709,1077.474,797,2944,1000
5,histone,292.578,1024.395,804,2862,993
6,histone,558.746,1076.786,821,2976,1047
7,histone,588.726,1110.155,792,4007,1047
8,histone,234.015,913.972,761,1705,898
9,histone,256.281,886.781,761,1742,872
10,histone,226.250,985.897,768,2307,954
11,histone,195.765,1168.915,829,3324,1124
12,histone,230.596,993.510,766,1811,984
13,histone,462.152,1126.829,784,4029,1051
14,histone,266.859,1012.773,781,2691,964
15,histone,231.067,1002.347,768,3145,981
16,histone,259.128,1046.309,805,2667,1029
17,histone,114.666,1137.334,847,2611,1094
18,histone,444.702,989.211,759,2951,956
19,histone,176.682,975.375,767,3097,937
20,histone,75.187,1297.030,823,3326,1257
21,histone,275.667,971.561,760,2632,936
22,histone,206.443,962.660,768,2633,937
23,histone,497.859,990.687,769,2501,962
24,histone,172.269,955.367,758,1528,948
25,histone,154.618,1052.644,792,2433,1047
26,histone,172.943,994.851,765,2483,974
27,histone,487.197,1106.349,803,2743,1088
28,histone,171.696,1054.945,796,2335,1033
29,histone,149.346,1152.518,888,2595,1117
30,histone,200.093,953.981,739,2387,933
31,histone,672.334,1032.252,783,3740,977
32,histone,120.646,1067.889,811,2460,1040
33,histone,262.580,989.926,788,2086,974
34,histone,560.800,972.004,760,2998,937
35,histone,270.463,1061.971,816,2348,1056
36,histone,500.436,1029.043,732,3476,965
37,histone,207.252,1012.548,786,2469,982
38,histone,610.874,1167.920,837,3237,1152
39,histone,184.328,1157.381,835,3045,1142
40,histone,525.026,1111.985,800,4086,1044
41,histone,372.514,1117.769,769,2608,1106
42,histone,181.111,1047.375,794,2174,1042
43,histone,787.051,1046.671,771,4092,990
44,histone,582.342,1017.411,744,2564,984
45,histone,200.801,1082.068,779,2965,1074
46,histone,419.270,976.568,750,2297,960
47,histone,556.826,1057.634,811,2120,1045
48,histone,130.364,1160.885,838,2661,1138
49,histone,139.897,1131.847,885,2285,1112
50,histone,119.433,1278.210,913,2974,1245
51,histone,393.163,1148.504,866,2495,1107
52,histone,403.370,1282.104,877,4208,1272
53,histone,225.745,1320.337,916,5163,1270
54,histone,195.529,1194.862,884,3747,1133
55,histone,60.735,1106.598,927,1879,1092
56,histone,217.475,1294.477,914,3728,1246
57,histone,132.065,1322.872,924,3191,1273
58,histone,205.028,1125.746,831,2671,1093
59,histone,417.535,947.898,760,1887,926
60,histone,171.966,1221.296,834,4481,1176
61,histone,177.574,1054.247,813,2651,1037
62,histone,456.493,1167.968,868,2923,1130
63,histone,537.877,1283.847,858,4006,1236
64,histone,279.120,1339.917,915,3202,1269
65,histone,193.811,1137.330,833,2679,1125
66,histone,275.263,1268.345,833,3915,1221
67,histone,270.412,1129.373,846,3290,1086
68,histone,186.872,1137.544,833,3354,1121
69,histone,485.462,1244.697,845,4187,1149
70,histone,263.978,983.576,760,2196,976
71,histone,392.321,1014.107,852,2672,994
72,histone,802.883,1089.440,848,2574,1033
73,histone,105.841,1139.324,899,2627,1096
74,histone,249.712,1064.987,870,1922,1047
75,histone,296.586,1216.456,862,4064,1143
76,histone,339.536,1274.792,892,3881,1219
77,histone,559.504,1141.746,850,2901,1103
78,histone,243.952,1141.086,851,3173,1109
79,histone,166.980,1079.573,819,3283,1070
80,histone,460.585,1089.617,828,2656,1035
81,histone,137.067,1119.641,809,3015,1074
82,histone,437.376,1196.145,849,3390,1075
83,histone,226.099,1178.873,847,2777,1172
84,histone,243.935,1143.251,845,3010,1130
85,histone,134.726,1098.707,872,2500,1074
86,histone,387.319,1216.770,896,5578,1176
87,histone,64.104,1189.171,847,2277,1179
88,histone,77.427,1260.292,862,3492,1175
89,histone,875.779,1267.060,801,4375,1159
90,histone,203.361,1304.545,938,2976,1281
91,histone,415.935,1304.943,847,6323,1184
92,histone,143.552,1208.479,861,2656,1170
93,histone,185.743,1119.790,828,3156,1090
94,histone,188.943,1072.797,802,3099,1047
