 ,Label,Area,Mean,Min,Max,Median
1,histone,294.700,2084.994,1288,14031,1864
2,histone,275.044,1906.324,1178,10936,1780
3,histone,259.683,3388.825,1635,22813,3007
4,histone,517.009,1788.418,1093,11753,1656
5,histone,486.338,3030.303,1378,24469,2827
6,histone,476.350,2123.244,1134,13120,1998
7,histone,251.363,2609.880,1238,17312,2481
8,histone,496.090,1953.552,1121,19438,1596
9,histone,279.188,2749.851,1379,18726,2435
10,histone,291.550,1822.752,1089,8806,1705
11,histone,294.599,1766.610,1100,8196,1690
12,histone,124.974,5767.808,2618,39625,5072
13,histone,341.590,3511.265,1670,29110,3038
14,histone,325.505,2763.647,1292,30705,2551
15,histone,657.613,2198.021,1094,21219,2100
16,histone,116.452,2612.159,1349,12173,2385
17,histone,347.519,1830.700,1025,9606,1669
18,histone,146.381,3061.394,1443,22888,2736
19,histone,421.880,2203.093,1156,12386,2070
20,histone,144.899,2293.819,1283,13184,2111
21,histone,303.088,2598.976,1340,17366,2384
22,histone,325.825,2796.365,1319,22319,2580
23,histone,291.634,2760.926,1499,16321,2501
24,histone,336.234,3059.991,1567,29007,2735
25,histone,650.556,1943.906,1163,16857,1839
26,histone,330.221,3574.918,1773,27031,3086
27,histone,337.801,1866.430,1110,9128,1774
28,histone,291.685,3309.215,1584,19967,2977
29,histone,280.906,2274.343,1195,13308,2168
30,histone,213.551,2466.317,1236,13864,2339
31,histone,350.635,2343.293,1269,13577,2198
32,histone,89.301,3109.110,1658,18646,2695
33,histone,161.405,2328.515,1294,10830,2185
34,histone,607.960,2418.779,1191,19095,2205
35,histone,183.857,2464.668,1317,21966,2327
36,histone,120.679,3627.496,1768,15670,3232
37,histone,517.902,2345.732,1183,15483,2055
38,histone,366.114,1819.015,1079,10985,1623
39,histone,181.381,1943.763,1219,8430,1838
40,histone,181.415,2527.162,1469,16485,2281
41,histone,207.521,2010.507,1191,9044,1885
42,histone,195.731,2728.513,1467,12096,2494
