 ,Label,Area,Mean,Min,Max,Median
1,histone,442.277,969.795,825,3003,946
2,histone,417.046,993.697,810,3095,962
3,histone,198.072,1010.370,856,3279,975
4,histone,193.760,1027.812,859,2857,994
5,histone,204.355,967.367,826,2526,937
6,histone,213.483,1058.283,870,5740,1014
7,histone,421.224,1013.463,844,3875,984
8,histone,921.895,993.574,804,4058,968
9,histone,430.538,974.474,829,3250,946
10,histone,394.831,972.189,808,2410,947
11,histone,335.830,1006.402,861,3197,977
12,histone,170.164,1019.939,855,2976,990
13,histone,161.826,986.251,828,2229,957
14,histone,339.839,955.464,809,2716,931
15,histone,359.494,1030.341,848,3299,1001
16,histone,700.142,1020.420,834,7753,987
17,histone,173.465,1075.142,911,2731,1038
18,histone,387.251,990.000,831,2389,967
19,histone,414.352,1043.954,850,5421,1006
20,histone,175.856,965.196,810,2007,943
21,histone,195.428,992.263,851,3011,961
22,histone,470.135,987.091,834,3130,958
23,histone,210.907,961.390,805,2322,932
24,histone,410.933,1010.732,819,5014,983
25,histone,454.084,988.019,823,2724,959
26,histone,598.444,1061.551,852,3320,1026
27,histone,86.842,985.415,849,3932,954
28,histone,95.802,992.312,853,2380,960
29,histone,420.567,986.014,842,2708,960
30,histone,220.726,1023.636,849,3345,988
31,histone,182.004,933.978,807,2086,912
32,histone,420.634,977.148,812,3026,949
33,histone,191.032,960.874,832,2426,934
34,histone,394.224,934.379,765,3270,912
35,histone,444.180,1028.035,854,3874,997
36,histone,216.549,960.298,831,2576,936
37,histone,184.716,955.051,818,2203,929
38,histone,415.126,1072.226,852,5126,1028
39,histone,455.886,1148.011,891,13015,1090
40,histone,656.620,1067.185,842,3502,1034
41,histone,225.914,1007.926,867,3284,974
42,histone,185.070,994.490,856,2345,970
43,histone,399.715,947.587,795,2341,924
44,histone,445.545,978.896,816,2701,950
45,histone,205.837,1005.839,851,3243,976
46,histone,421.274,971.965,811,2953,947
47,histone,451.827,980.139,824,2266,956
48,histone,464.729,1000.250,839,3978,970
49,histone,398.890,982.599,831,2843,955
50,histone,243.649,987.737,835,2670,960
51,histone,142.524,966.629,825,3305,937
52,histone,520.815,1017.706,835,2647,991
53,histone,381.879,1025.158,848,3871,994
54,histone,183.672,1249.869,911,8541,1144
55,histone,163.932,985.524,853,2825,956
56,histone,411.253,1030.292,863,3890,1000
57,histone,746.729,967.236,816,2800,945
58,histone,154.146,1012.356,863,3015,975
59,histone,382.687,971.386,828,2581,945
60,histone,142.154,1025.547,867,2717,995
61,histone,566.527,1010.689,842,2575,985
62,histone,174.357,1053.731,899,4526,1014
63,histone,400.018,1037.436,872,3621,1006
64,histone,442.513,1029.507,861,2973,998
65,histone,120.326,945.234,821,1958,922
66,histone,621.250,991.640,821,4213,965
67,histone,126.844,1010.638,853,2391,981
68,histone,121.370,993.995,861,2459,965
69,histone,466.901,1012.756,831,3927,980
70,histone,174.543,996.696,834,2790,967
71,histone,618.908,1042.751,844,3947,1010
72,histone,210.923,1010.931,840,2433,980
73,histone,317.236,1001.269,807,2648,979
74,histone,435.708,983.917,822,2938,955
75,histone,215.252,975.867,811,2801,946
76,histone,182.560,1057.686,878,2536,1025
77,histone,249.342,1057.972,859,4279,1014
78,histone,725.877,1042.317,805,3338,1013
79,histone,401.837,976.468,805,2250,951
80,histone,463.331,1004.011,831,3452,973
81,histone,197.533,1068.251,856,3039,1033
82,histone,213.854,1003.341,835,3645,970
83,histone,466.413,1387.966,940,15390,1259
84,histone,224.499,1045.145,869,2610,1009
85,histone,397.425,986.831,834,2615,961
86,histone,182.846,954.621,827,2370,932
87,histone,699.805,1017.526,811,3404,986
88,histone,192.464,1048.579,876,3464,1009
89,histone,433.081,1006.773,812,3653,977
90,histone,198.460,1033.235,850,3064,1003
91,histone,259.296,956.769,805,2425,937
92,histone,497.000,950.006,798,2194,925
93,histone,542.206,979.199,825,3765,951
94,histone,278.514,961.623,811,2921,934
95,histone,257.005,957.420,793,2664,931
96,histone,743.647,998.384,812,2835,970
97,histone,185.406,1597.177,900,30856,1362
98,histone,353.633,975.621,807,2765,951
99,histone,426.546,1033.094,844,3553,997
100,histone,178.467,1003.383,833,6443,966
101,histone,391.226,989.167,808,2706,960
102,histone,170.164,977.306,809,2569,951
103,histone,383.529,1020.800,827,3241,991
104,histone,426.394,1074.377,881,3475,1036
105,histone,205.618,1034.758,865,2661,1003
106,histone,417.468,975.048,814,4310,948
107,histone,376.051,977.999,821,3838,953
